PLAYER_ID	PLAYER_NAME	PLAYER_PASSWORD	AUTHORITY_CODE	IS_RESTRICTED_PARTICIPATION	SHOULD_CHECK_ACCESS_INFO
1	master	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_ADMIN	0	1
2	testuser01	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
3	testuser02	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
4	testuser03	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
5	testuser04	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
6	testuser05	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
7	testuser06	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
8	testuser07	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
9	testuser08	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
10	testuser09	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
11	testuser10	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
12	testuser11	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
13	testuser12	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
14	testuser13	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ROLE_PLAYER	0	1
